Pais,Estado,Colonias,codigos
Mexico,Cdmx,Arag¢n,7990
Mexico,Cdmx,Lindavista,878798
Mexico,Cdmx,Raza,99976
Mexico,Cdmx,Neza,99977
Mexico,Cdmx,Roma,99978
Mexico,Cdmx,Polanco,99979
Mexico,Cdmx,Neza,99980
Mexico,Cdmx,Satelite,99981
Mexico,Sinaloa,sin uno,99982
Mexico,Sinaloa,sin dos,99983
Mexico,Sinaloa,sin tres,99984
Mexico,Sinaloa,sin cuatro,99985
Mexico,Sonora,Son uno,99986
Mexico,Sonora,Son dos,99987
Mexico,Sonora,Son tres,99988
Estados unidos,Colorado,col uno,99989
Estados unidos,Colorado,col dos,99990
Estados unidos,New york,new uno,99991
Estados unidos,New york,new dos,99992
